time: 0; power: 0.0; position: 0
time: 5.417721419; power: 0.0; position: 1
time: 5.420410295; power: 0.0; position: 1
time: 5.422940795; power: 0.0; position: 1
time: 5.425746045; power: 0.0; position: 1
time: 5.428344795; power: 0.0; position: 1
time: 5.430962504; power: 0.0; position: 1
time: 5.433575254; power: 0.0; position: 1
time: 5.436151546; power: 0.0; position: 1
time: 5.438875421; power: 0.0; position: 1
time: 5.441328922; power: 0.0; position: 1
time: 5.444393172; power: 0.0; position: 1
time: 5.446986964; power: 0.0; position: 1
time: 5.449509006; power: 0.0; position: 1
time: 5.452152673; power: 0.0; position: 1
time: 5.454929048; power: 0.0; position: 1
time: 5.457551132; power: 0.0; position: 1
time: 5.461231674; power: 0.0; position: 1
time: 5.464085341; power: 0.0; position: 1
time: 5.466762549; power: 0.0; position: 1
time: 5.469529883; power: 0.0; position: 1
time: 5.472149633; power: 0.0; position: 1
time: 5.474833258; power: 0.0; position: 1
time: 5.477758675; power: 0.0; position: 1
time: 5.480978967; power: 0.0; position: 1
time: 5.483733759; power: 0.0; position: 1
time: 5.486507218; power: 0.0; position: 1
time: 5.48922001; power: 0.0; position: 1
time: 5.513035179; power: 0.0; position: 1
time: 5.523316722; power: 0.0; position: 1
time: 5.526247389; power: 0.0; position: 1
time: 5.528868889; power: 0.0; position: 1
time: 5.531400556; power: 0.0; position: 1
time: 5.534204639; power: 0.0; position: 1
time: 5.53713239; power: 0.0; position: 1
time: 5.539889515; power: 0.0; position: 1
time: 5.542733557; power: 0.0; position: 1
time: 5.54552364; power: 0.0; position: 1
time: 5.548137849; power: 0.0; position: 1
time: 5.551090391; power: 0.0; position: 1
time: 5.553734058; power: 0.0; position: 1
time: 5.556604058; power: 0.0; position: 1
time: 5.559322975; power: 0.0; position: 1
time: 5.561951767; power: 0.0; position: 1
time: 5.564451642; power: 0.0; position: 1
time: 5.567118351; power: 0.0; position: 1
time: 5.56976406; power: 0.0; position: 1
time: 5.572338893; power: 0.0; position: 1
time: 5.57508406; power: 0.0; position: 1
time: 5.577837102; power: 0.0; position: 1
time: 5.580619311; power: 0.0; position: 1
time: 5.583371186; power: 0.0; position: 1
time: 5.586308561; power: 0.0; position: 1
time: 5.589023978; power: 0.0; position: 1
time: 5.59187677; power: 0.0; position: 1
time: 5.594632729; power: 0.0; position: 1
time: 5.597374396; power: 0.0; position: 1
time: 5.600139688; power: 0.0; position: 1
time: 5.603522438; power: 0.0; position: 1
